Cardiac progenitor cell,Cardiac stem and precursor cell,Cardiomyocyte,Cardiovascular progenitor cell,Endothelial cell,Fibroblast,His bundle cell,Multipotent progenitor cell,Purkinje fiber cell,Semilunar valve cell
CASP3,MYH6,ACTN1,FLT1,VWF,CKAP4,GJA5,ISL1,GJA5,MMP13
NA,WT1,TNNI3,FLT4,NA,NA,GJC1,NA,B3GAT1,NA
NA,TBX18,TNNT2,ISL1,NA,NA,KCNK3,NA,GJC1,NA
NA,FUT4,GJA1,NKX2-5,NA,NA,NA,NA,KCNK3,NA
NA,KITLG,MYH6,NA,NA,NA,NA,NA,NEFM,NA
NA,NKX2-5,SIRPA,NA,NA,NA,NA,NA,NA,NA
NA,ISL1,FHL2,NA,NA,NA,NA,NA,NA,NA
NA,GATA4,ATP2A2,NA,NA,NA,NA,NA,NA,NA
NA,ETV2,DES,NA,NA,NA,NA,NA,NA,NA
NA,KIT,PDLIM5,NA,NA,NA,NA,NA,NA,NA
NA,ABCG2,CD36,NA,NA,NA,NA,NA,NA,NA
NA,MESP1,FABP4,NA,NA,NA,NA,NA,NA,NA
NA,BMP4,MFN2,NA,NA,NA,NA,NA,NA,NA
NA,ADGRL2,GATA6,NA,NA,NA,NA,NA,NA,NA
NA,TBX3,ADIPOR1,NA,NA,NA,NA,NA,NA,NA
NA,TBX4,ART3,NA,NA,NA,NA,NA,NA,NA
NA,WNT5A,PDE4D,NA,NA,NA,NA,NA,NA,NA
NA,ANKRD1,GPIHBP1,NA,NA,NA,NA,NA,NA,NA
NA,NA,AQP1,NA,NA,NA,NA,NA,NA,NA
NA,NA,HMGB2,NA,NA,NA,NA,NA,NA,NA
NA,NA,CKB,NA,NA,NA,NA,NA,NA,NA
NA,NA,ADIPOR2,NA,NA,NA,NA,NA,NA,NA
NA,NA,ADM,NA,NA,NA,NA,NA,NA,NA
NA,NA,LOX,NA,NA,NA,NA,NA,NA,NA
NA,NA,PDE1A,NA,NA,NA,NA,NA,NA,NA
NA,NA,BMP4,NA,NA,NA,NA,NA,NA,NA
