iPSCs,Mesoderm,Endoderm,Ectoderm,Cardiac mesoderm,FHF progenitor,SHF progenitor,Epicardial progenitor,Atrial cardiomyocytes,Ventricular cardiomyocytes,Left ventricle (LV) cardiomyocytes,SAN pacemaker,Vascular endothelial cells,Vascular smooth muscle cells,Cardiac fibroblast,Paper
POU5F1,MIXL1,CXCR4,OTX2,MESP1,TBX5,ISL1,WT1,MYL7,MYL2,HAND1,TBX18,PECAM1,MYH11,DDR2,DNMT3B
NANOG,TBXT,SOX17,PAX6,KDR,NKX2-5,NKX2-5,TBX18,NR2F2,IRX4,TBX5,HCN4,CDH5,ACTA2,TCF21,NANOG
SOX2,,FOXA2,SOX1,PDGFRA,HCN4,KDR,,TNNT2,TNNT2,CITED1,TNNT2,,,WT1,POU5F1
,,GATA4,,,,,,,,TNNT2,,,,,EOMES
,,,,,,,,,,,,,,,MESP1
,,,,,,,,,,,,,,,MIXL1
,,,,,,,,,,,,,,,ISL1
,,,,,,,,,,,,,,,TMEM88
,,,,,,,,,,,,,,,HAND1
,,,,,,,,,,,,,,,GATA4
,,,,,,,,,,,,,,,ATP2A2
,,,,,,,,,,,,,,,PLN
,,,,,,,,,,,,,,,MYH6
,,,,,,,,,,,,,,,MYH7
,,,,,,,,,,,,,,,MYL7
,,,,,,,,,,,,,,,NKX2-5
,,,,,,,,,,,,,,,TBX5
,,,,,,,,,,,,,,,TNNI1
